date,weekday,holiday,holiday_name,total
3/5/2017,Sunday,0,na,164
3/6/2017,Monday,0,na,63
3/7/2017,Tuesday,0,na,69
3/8/2017,Wednesday,0,na,102
3/9/2017,Thursday,0,na,111
3/10/2017,Friday,0,na,155
3/11/2017,Saturday,0,na,296
3/12/2017,Sunday,0,na,158
3/13/2017,Monday,0,na,98
3/14/2017,Tuesday,0,na,86
3/15/2017,Wednesday,0,na,62
3/16/2017,Thursday,0,na,71
3/17/2017,Friday,1,St. Patrick's Day,205
3/18/2017,Saturday,0,na,179
3/19/2017,Sunday,0,na,205
3/20/2017,Monday,0,na,125
3/21/2017,Tuesday,0,na,55
3/22/2017,Wednesday,0,na,109
3/23/2017,Thursday,0,na,84
3/24/2017,Friday,0,na,154
3/25/2017,Saturday,0,na,264
3/26/2017,Sunday,0,na,146
3/27/2017,Monday,0,na,98
3/28/2017,Tuesday,0,na,97
3/29/2017,Wednesday,0,na,140
3/30/2017,Thursday,0,na,100
3/31/2017,Friday,0,na,149
4/1/2017,Saturday,0,na,196
4/2/2017,Sunday,0,na,196
4/3/2017,Monday,0,na,69
4/4/2017,Tuesday,0,na,99
4/5/2017,Wednesday,0,na,98
4/6/2017,Thursday,0,na,74
4/7/2017,Friday,0,na,162
4/8/2017,Saturday,0,na,191
4/9/2017,Sunday,0,na,177
4/10/2017,Monday,0,na,73
4/11/2017,Tuesday,0,na,77
4/12/2017,Wednesday,0,na,89
4/13/2017,Thursday,0,na,70
4/14/2017,Friday,1,Good Friday,221
4/15/2017,Saturday,0,na,218
4/16/2017,Sunday,1,Easter,253
4/17/2017,Monday,1,Easter Monday,140
4/18/2017,Tuesday,0,na,91
4/19/2017,Wednesday,0,na,79
4/20/2017,Thursday,0,na,90
4/21/2017,Friday,0,na,165
4/22/2017,Saturday,0,na,226
4/23/2017,Sunday,0,na,
4/24/2017,Monday,0,na,
4/25/2017,Tuesday,0,na,
4/26/2017,Wednesday,0,na,
4/27/2017,Thursday,0,na,
4/28/2017,Friday,0,na,
4/29/2017,Saturday,0,na,
4/30/2017,Sunday,0,na,
5/1/2017,Monday,0,na,
5/2/2017,Tuesday,0,na,
5/3/2017,Wednesday,0,na,
5/4/2017,Thursday,0,na,
5/5/2017,Friday,1,Cinco de Mayo,
5/6/2017,Saturday,0,na,
5/7/2017,Sunday,0,na,
5/8/2017,Monday,0,na,
5/9/2017,Tuesday,0,na,
5/10/2017,Wednesday,0,na,
5/11/2017,Thursday,0,na,
5/12/2017,Friday,0,na,
5/13/2017,Saturday,0,na,
5/14/2017,Sunday,1,Mother's Day,
5/15/2017,Monday,0,na,
5/16/2017,Tuesday,0,na,
5/17/2017,Wednesday,0,na,
5/18/2017,Thursday,0,na,
5/19/2017,Friday,0,na,
5/20/2017,Saturday,0,na,
5/21/2017,Sunday,0,na,
5/22/2017,Monday,0,na,
5/23/2017,Tuesday,0,na,
5/24/2017,Wednesday,0,na,
5/25/2017,Thursday,0,na,
5/26/2017,Friday,0,na,
5/27/2017,Saturday,0,na,
5/28/2017,Sunday,0,na,
5/29/2017,Monday,1,Memorial Day,
5/30/2017,Tuesday,0,na,
5/31/2017,Wednesday,0,na,
